ts_code,name,industry,market,list_date,exchange,trade_date,close,pe_ttm,pb,total_mv,dv_ttm,h1_ann_date,h1_end_date,h1_roe,h1_roe_dt,h1_roic,h1_profit_dedt,h1_ocfps,h1_eps,h1_debt_to_assets,h1_grossprofit_margin,h1_netprofit_margin,h1_or_yoy,h1_netprofit_yoy,h1_dt_netprofit_yoy,h1_ocf_to_or,h1_ocf_to_profit,h1_interestdebt,h1_netdebt,h1_current_ratio,h1_rd_exp,fy_ann_date,fy_end_date,fy_roe,fy_roe_dt,fy_roic,fy_profit_dedt,fy_ocfps,fy_eps,fy_debt_to_assets,fy_grossprofit_margin,fy_netprofit_margin,fy_or_yoy,fy_netprofit_yoy,fy_dt_netprofit_yoy,fy_ocf_to_or,fy_ocf_to_profit,fy_interestdebt,fy_netdebt,fy_current_ratio,fy_rd_exp,years,profit_positive_years,cash_positive_years,roe_median,roic_median,cash_conversion_median,gross_margin_std,profit_cagr5,revenue_cagr5,market_cap_yi,financial,quality_score,growth_score,valuation_score,score,eligible_basic,eligible,gate_failures
002698.SZ,博实股份,化工机械,主板,20120911,SZSE,20260918.0,11.41,22.3974,2.8176,1166742.7856,2.1911,20260828.0,20260630.0,5.6246,5.2392,5.2917,218474390.82,0.2345,0.2297,40.1767,35.4351,18.1751,0.4896,-15.4404,-16.02,0.1752,84.7972,501997555.34,-472983640.38,2.6159,63467320.41,20260428.0,20251231.0,14.1607,13.3001,12.7808,529495440.74,0.3889,0.5546,40.4175,35.7108,20.5528,-1.209,7.5408,7.32,0.1406,60.9081,513443736.75,390130831.17,2.5586,161221483.0,5,5,5,13.6921,12.9988,65.9292,1.8351156347761854,7.09609978532848,9.120696690638553,116.67427856,False,30.61466125116713,6.016950607560535,11.095008333333332,47.726620192061,False,False,总市值低于200亿元或缺失；最新扣非利润下降超过10%或缺失
300525.SZ,博思软件,软件服务,创业板,20160726,SZSE,20260918.0,7.72,34.6514,2.3918,580262.6832,0.7772,20260828.0,20260630.0,-1.9225,-2.268,-1.5342,-56532895.53,-0.3604,-0.0632,30.482,65.336,-9.0116,-7.7591,-15.0452,-28.76,-0.416,,647481906.02,-186549252.02,3.1847,183583674.42,20260429.0,20251231.0,6.683,5.6541,4.9896,146978411.46,0.3933,0.2291,31.3187,63.7009,8.6202,-6.4404,-42.5412,-46.3,0.1488,156.9712,628794857.88,-628473397.64,2.9359,387903168.82,5,5,5,12.3713,12.0229,100.1682,1.9753468814362682,2.667913097614094,12.019456212485458,58.02626832,False,35.45584239028945,5.661514676230693,6.604522222222221,47.721879288742365,False,False,总市值低于200亿元或缺失；五年扣非利润CAGR低于5%或缺失；最新扣非利润非正或缺失；最新营收不增长或缺失；最新扣非利润下降超过10%或缺失
002737.SZ,葵花药业,中成药,主板,20141230,SZSE,20260918.0,11.25,,1.6771,657000.0,1.7778,20260829.0,20260630.0,2.0493,1.8161,2.027,70425814.47,0.0437,0.14,23.1603,54.9193,5.7064,14.3353,-2.2635,46.16,0.0171,25.3275,191623361.46,-1203342996.47,3.4718,48098116.0,20260427.0,20251231.0,-6.2751,-7.5336,-6.9446,-309535978.07,0.9845,-0.44,25.1045,38.1521,-12.8162,-31.3614,-152.3991,-189.79,0.248,,115925794.22,-736893105.47,3.0411,111110079.52,5,4,4,17.6591,19.1269,81.41755,9.271907634624064,,-7.70917444044893,65.7,False,37.629621453850156,7.86706,2.22225,47.71893145385016,False,False,总市值低于200亿元或缺失；五年扣非未连续为正；五年扣非利润CAGR低于5%或缺失；五年营收连乘增速低于3%或缺失
603530.SH,神马电力,电气设备,主板,20190805,SSE,20260918.0,44.05,39.0864,10.4689,1900336.382,0.7728,20260813.0,20260630.0,11.8959,11.5942,9.2261,209344830.4,0.585,0.52,35.7275,47.3515,24.0121,26.9757,34.0095,32.24,0.2823,100.4454,582643530.99,340424827.37,2.7187,37288293.8,20260417.0,20251231.0,24.1629,23.4789,20.9246,419456991.47,0.2715,1.02,31.8409,46.1766,25.0873,27.9434,38.9238,38.75,0.0681,23.1637,463300000.0,201284405.52,2.9986,69099068.89,5,5,4,9.2346,8.8952,38.0023,8.424681611788069,28.33998406997631,21.015690271874288,190.03363819999998,False,17.094400136423307,25.0,5.6134666666666675,47.70786680308997,False,False,总市值低于200亿元或缺失；五年扣非ROE中位数低于10%；五年经营现金流利润总额比中位数低于60%或缺失
688116.SH,天奈科技,化工原料,科创板,20190925,SSE,20260918.0,34.15,50.9306,3.2873,1251707.1215,0.2423,20260825.0,20260630.0,3.5074,3.1282,2.818,120148603.5,0.2658,0.37,35.0214,37.7527,18.4248,11.423,15.3867,15.88,0.1338,64.3265,1545675572.79,745592518.85,3.8041,54120607.31,20260430.0,20251231.0,6.8083,5.7893,5.2664,193709415.95,0.6387,0.63,33.5961,36.7526,17.4363,-10.4118,-8.9495,-18.39,0.1804,88.2453,1400347536.2,596437944.37,4.2658,108591826.93,5,5,5,8.4706,8.6664,84.031,1.2516520934349136,20.44447886467693,22.415021483248832,125.17071214999999,False,25.31504705882353,20.061833236696618,2.318297222222223,47.69517751774237,False,False,总市值低于200亿元或缺失；五年扣非ROE中位数低于10%
300790.SZ,宇瞳光学,元器件,创业板,20190920,SZSE,20260918.0,19.99,39.8817,3.7508,1040211.634,0.536,20260828.0,20260630.0,4.5091,3.9263,2.9263,106435874.48,0.2744,0.23,56.1012,20.7625,6.8596,25.8699,13.6526,3.26,0.0805,112.9388,2435795169.47,1933722373.78,1.1824,104645570.92,20260428.0,20251231.0,9.7376,9.5987,6.2605,242629999.05,0.93,0.66,58.0499,24.9079,7.2785,23.2702,34.092,52.18,0.1029,113.4321,2352044496.79,1711016860.63,1.0756,201666505.51,5,5,5,7.4359,6.1505,165.2467,2.6015515086194236,15.804923688281235,18.107563523748006,104.02116339999999,False,24.59076364044619,17.958100989749198,5.140733333333333,47.689597963528726,False,False,总市值低于200亿元或缺失；五年扣非ROE中位数低于10%
920396.BJ,常辅股份,电器仪表,北交所,20201118,BSE,20260918.0,18.53,32.7829,3.7079,133825.765,1.0793,20260819.0,20260630.0,3.6947,3.4231,3.1959,12394736.53,0.031,0.1852,40.3097,36.6947,11.6708,6.7534,-0.2791,-1.21,0.0195,19.7655,20000000.0,-107656522.22,2.4091,4675741.76,20260429.0,20251231.0,11.8239,11.3579,11.1053,39248850.79,1.205,0.5672,41.9491,42.053,15.8121,1.4046,7.8429,8.78,0.3368,199.9234,23000000.0,-123615828.11,2.3543,8802583.83,5,5,5,11.1496,11.1964,132.9054,2.312612011989905,4.992986984313608,2.16072209364766,13.3825765,False,35.34991814610108,4.911474672439418,7.397369444444445,47.65876226298494,False,False,总市值低于200亿元或缺失；五年扣非利润CAGR低于5%或缺失；五年营收连乘增速低于3%或缺失
002103.SZ,广博股份,文教休闲,主板,20070110,SZSE,20260918.0,6.49,25.0834,2.6721,346743.177,,20260822.0,20260630.0,3.9293,3.1796,3.1276,40308119.62,-0.0736,0.0934,39.6985,17.5339,3.7239,14.2032,-34.5731,-33.78,-0.0294,-62.4251,278392540.62,104797551.1,1.8544,16532831.06,20260411.0,20251231.0,14.3565,12.0144,11.0044,137712464.74,0.3141,0.31,47.7288,16.7781,5.9935,-1.1672,8.1258,-4.45,0.0611,94.6711,381848710.71,205706239.77,1.5772,26994769.1,5,4,5,12.0144,11.0044,203.7118,1.8642718181638633,,1.148323490642733,34.6743177,False,36.57053464052287,3.2999693962570933,7.759244444444445,47.62974848122441,False,False,总市值低于200亿元或缺失；五年扣非未连续为正；五年扣非利润CAGR低于5%或缺失；五年营收连乘增速低于3%或缺失；最新扣非利润下降超过10%或缺失
002677.SZ,浙江美大,家用电器,主板,20120525,SZSE,20260918.0,6.15,,2.7432,397321.734,0.2602,20260829.0,20260630.0,-0.7337,-0.9584,-1.2581,-13988699.51,-0.0349,-0.02,7.4047,30.8288,-8.5968,-37.3272,-187.1847,-230.91,-0.1696,,1849597.87,-597250699.58,6.6027,7313225.52,20260427.0,20251231.0,0.7393,0.6461,0.3167,10088160.8,0.0515,0.02,9.3469,37.392,2.3152,-48.2416,-89.5495,-90.85,0.0733,225.5319,257179.74,-630239659.56,5.1046,21422687.03,5,5,5,21.5202,21.9149,85.241,5.54746152199364,-54.92062426223209,-23.82671061423679,39.7321734,False,47.294811338669945,0.0,0.32525,47.62006133866994,False,False,总市值低于200亿元或缺失；五年扣非利润CAGR低于5%或缺失；五年营收连乘增速低于3%或缺失；最新扣非利润非正或缺失；最新营收不增长或缺失；最新扣非利润下降超过10%或缺失
300349.SZ,金卡智能,电器仪表,创业板,20120817,SZSE,20260918.0,10.03,19.6853,0.9347,418464.9399,2.4925,20260820.0,20260630.0,1.8262,1.4086,1.5835,63209548.45,-0.0989,0.2,39.7734,35.7106,5.8367,-8.746,-39.4202,-45.98,-0.0294,-45.3967,400090660.64,-355263992.1,1.8048,116186078.04,20260423.0,20251231.0,5.9538,5.2198,5.2813,233123195.29,0.8262,0.64,40.1081,37.1235,8.24,5.257,-26.1583,-24.16,0.1068,113.8847,408086670.45,-782217235.37,1.8754,238792033.1,5,5,5,7.0426,6.8679,89.0619,1.9920091935028823,55.374666063199875,10.77966568075217,41.84649399,False,23.225099999999998,12.311866272300868,12.074447222222222,47.61141349452309,False,False,总市值低于200亿元或缺失；五年扣非ROE中位数低于10%；最新营收不增长或缺失；最新扣非利润下降超过10%或缺失
