ts_code,trade_date,turnover_rate,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
688757.SH,20260127,13.6224,0.81,166.9706,15.7335,27.3765,0.5782,1388198.1348,120624.0949
688531.SH,20260127,2.3131,0.75,78.1956,3.8505,13.2182,0.5342,1275238.9242,823728.4856
300318.SZ,20260127,12.0494,3.77,,4.6434,7.4897,,624928.8787,610882.7053
920082.BJ,20260127,4.3534,1.19,36.4348,5.0877,3.5485,1.7344,268179.975,72125.5057
600782.SH,20260127,3.5616,1.31,13.0422,0.479,0.3348,0.2511,1267240.8153,1251969.5553
301018.SZ,20260127,6.012,1.34,141.8849,6.5659,4.9118,0.2443,1742112.1891,1303048.1629
300259.SZ,20260127,1.9787,0.73,23.2373,1.8485,5.3937,2.0762,547467.1095,547341.5521
603676.SH,20260127,0.5862,1.23,22.2597,3.3792,4.2313,2.8598,494343.464,494343.464
605303.SH,20260127,3.3206,0.69,,3.2985,5.4237,,303126.327,303126.327
301413.SZ,20260127,8.2202,0.66,153.2893,11.4411,12.5496,0.2063,1431256.8718,854517.2082
688539.SH,20260127,3.8672,0.58,134.9882,4.8403,22.6942,0.4363,842589.44,474591.04
688479.SH,20260127,4.1464,0.77,78.7043,1.7701,6.6741,2.1758,327600.498,141460.498
000552.SZ,20260127,1.8442,1.07,,0.7793,1.6078,2.8571,1273730.9314,886742.1617
688719.SH,20260127,3.5519,1.01,,3.3751,5.9462,0.3273,572311.6733,445022.5981
002709.SZ,20260127,6.3043,1.65,149.4238,5.1514,5.836,0.3449,8460989.0019,6258503.4595
920857.BJ,20260127,4.6305,2.31,,5.6309,5.018,0.3535,209366.233,209366.233
000068.SZ,20260127,2.2403,1.69,,5.8283,3.581,,354348.3553,354348.3553
301135.SZ,20260127,4.497,1.3,78.7453,2.5137,2.2517,0.9392,314216.064,235652.0315
603026.SH,20260127,4.6912,1.25,,3.2991,2.6488,,1594932.75,1389168.72
002079.SZ,20260127,9.9948,1.33,94.9373,2.9477,2.1285,0.1692,909503.9892,908650.3289
688335.SH,20260127,3.5179,1.14,,4.7844,21.5816,0.5345,547727.9904,547727.9904
002558.SZ,20260127,2.1702,0.91,51.7086,6.036,22.4834,0.5987,9157174.6419,9157174.6419
603205.SH,20260127,3.689,1.15,43.5919,3.084,4.5511,0.9365,449748.0,119183.22
600458.SH,20260127,2.1842,0.99,24.5984,1.8249,0.6372,1.7401,1397991.787,1295004.6863
002584.SZ,20260127,10.6196,0.54,,2.5004,0.7841,,560637.3323,448752.6129
002318.SZ,20260127,1.6042,1.1,18.8904,3.9541,2.3848,2.8535,3224663.376,3151360.5024
000823.SZ,20260127,4.2619,0.67,32.2494,1.6882,1.2794,1.3504,795299.2259,795265.5421
920429.BJ,20260127,1.3085,0.65,51.2545,2.3723,1.8334,1.5659,196585.5,179217.1174
000551.SZ,20260127,7.3586,0.79,29.2157,2.6736,1.9005,0.5369,752305.6874,749588.615
600792.SH,20260127,2.8982,1.02,,1.5692,0.813,,446189.2872,446189.2872
603382.SH,20260127,4.1506,1.15,42.1218,3.3478,1.2374,0.6246,580366.8803,116073.5246
300176.SZ,20260127,3.0049,0.98,105.0068,2.867,1.4902,0.2833,273420.2448,273420.2448
000016.SZ,20260127,1.7028,0.67,,9.684,1.1483,,1225644.2127,812666.2442
300339.SZ,20260127,3.7231,0.93,324.8495,11.8171,11.299,0.1319,4190713.8453,4092187.2418
600287.SH,20260127,1.3295,1.13,104.2521,1.1221,0.9306,,259020.0719,259020.0719
688387.SH,20260127,7.5922,0.69,,9.9747,9.9408,,6071700.0,3581796.3072
600151.SH,20260127,7.9422,0.58,,4.7101,5.6771,,2185800.4854,2185800.4854
000536.SZ,20260127,2.1522,0.91,,23.7951,9.3075,,1360888.1391,1359436.5979
000623.SZ,20260127,1.5314,1.29,9.5429,0.8078,10.4656,2.3922,2450389.648,2440406.9323
300045.SZ,20260127,10.655,0.77,,11.9752,28.945,,1923083.5349,1498340.8368
000518.SZ,20260127,2.035,1.31,,7.9436,8.3413,,285187.0735,285181.387
600167.SH,20260127,0.8344,0.96,23.4114,1.4987,4.825,2.7384,1624719.4524,1624719.4524
603299.SH,20260127,1.4535,0.93,16.6493,1.416,1.8725,3.9731,871548.8952,867310.3543
002108.SZ,20260127,5.4964,1.3,51.8517,1.6124,2.8265,2.0565,809461.7191,808921.6191
300079.SZ,20260127,3.7363,1.14,321.4587,2.0353,11.2845,0.1663,858468.8933,771450.7529
600025.SH,20260127,0.1267,0.78,19.5383,2.4489,6.4448,2.1398,16823878.1141,16254000.0
688132.SH,20260127,1.6814,0.89,,2.2219,12.094,,306429.3357,218401.8803
688259.SH,20260127,4.1932,1.43,62.4353,3.2622,11.3003,0.0971,513931.7,513931.7
301316.SZ,20260127,2.216,0.72,191.0589,17.6125,8.9901,0.1667,1939200.0,1920048.0
601116.SH,20260127,7.8577,0.92,68.1165,2.8801,2.379,1.1827,926124.1744,926124.1744
605016.SH,20260127,3.0972,0.92,28.6145,5.3462,7.5898,0.8334,1046670.7014,1046670.7014
600148.SH,20260127,1.9986,1.18,316.3696,6.2999,4.0876,,299165.7753,299165.7753
002352.SZ,20260127,0.836,1.0,17.5659,1.9422,0.6301,2.3769,19079283.5285,18066862.6998
688312.SH,20260127,5.0683,1.71,44.4777,3.7286,9.3592,1.305,551160.9677,551160.9677
300577.SZ,20260127,5.0017,2.41,16.1169,2.5415,1.1043,1.5185,544907.9532,322998.4052
000912.SZ,20260127,1.1053,1.0,,1.1159,1.6079,,704032.0,704032.0
600094.SH,20260127,1.9754,0.81,,1.1516,5.1407,,1181074.6229,1080124.8146
002778.SZ,20260127,2.7888,1.05,,8.9032,12.5337,,281193.9382,278208.38
300894.SZ,20260127,1.8196,0.74,,4.4656,5.138,,483069.411,349650.7698
000011.SZ,20260127,1.3018,0.94,,1.5542,1.684,,527441.4964,465930.8556
600941.SH,20260127,1.649,1.04,14.2828,1.493,1.9543,5.086,204022061.9247,8509489.9143
002918.SZ,20260127,2.471,0.85,106.879,2.1184,1.72,1.1779,694153.2315,361825.0031
002592.SZ,20260127,3.9755,0.97,26.9772,3.275,4.4528,1.8709,302881.0068,280843.7995
002396.SZ,20260127,4.5318,0.96,36.1483,2.5458,0.9231,0.8332,1757670.9891,1750424.1143
300304.SZ,20260127,3.3214,0.69,27.3736,3.4691,5.1604,0.6611,1163540.4264,1132233.0826
300935.SZ,20260127,4.8582,0.84,,3.8567,23.2452,,305808.118,232053.5718
920932.BJ,20260127,2.26,0.64,179.7812,3.2409,5.8577,0.1015,226081.8511,186301.0113
301107.SZ,20260127,3.889,0.81,39.2349,3.323,4.4169,1.6077,315857.4821,183734.3886
300877.SZ,20260127,3.3703,1.35,36.4976,2.0166,3.2574,0.3459,336360.0,336357.0569
600822.SH,20260127,1.8273,0.47,229.9307,4.5938,2.5869,,562929.2574,449627.8756
000637.SZ,20260127,6.2974,1.7,,4.2633,0.7378,,236543.287,165886.2
688513.SH,20260127,0.6506,1.12,41.2125,3.4709,7.4853,0.7519,994759.2626,994759.2626
